dataset,run_id,epoch,learning_rate,Best Accuracy,Precision,Recall,F1,MCC,AUPR,AUC
cirrhosis,1,200,0.0001,0.875,0.701864452,0.927884615,0.797065307,0.493745888,0.973348672,0.979020979
cirrhosis,1,200,0.0001,0.958333333,0.791964702,0.91969697,0.846542194,0.674440433,0.97042706,0.986111111
cirrhosis,2,200,0.0001,0.916666667,0.997607393,0.809583333,0.893009738,0.822614271,0.996627402,1
cirrhosis,3,200,0.0001,0.5,0,0,0,0,0.998711837,1
cirrhosis,4,200,0.0001,0.5,0.5,1,0.666666667,0,0.75,0.5
cirrhosis,5,200,0.0001,0.958333333,0.939371835,0.841954023,0.877600208,0.788857187,0.981049382,1
cirrhosis,6,200,0.0001,0.958333333,0.989818775,0.833333333,0.903604772,0.835073807,0.994243181,1
cirrhosis,7,200,0.0001,0.958333333,0.994682218,0.766081871,0.863712105,0.783253838,0.98684981,0.996527778
cirrhosis,8,200,0.0001,0.958333333,0.902156463,0.925373134,0.910350171,0.816260458,0.968834068,1
cirrhosis,9,200,0.0001,0.958333333,0.902203857,0.761363636,0.813812543,0.712311495,0.981094579,1
cirrhosis,10,200,0.0001,0.5,0,0,0,0,0.97507748,1
obesity,1,200,0.0001,0.769230769,0.106944779,0.136206897,0.119725851,0.004697838,0.929237313,0.866666667
obesity,2,200,0.0001,0.807692308,0.780421499,0.945,0.853749514,0.089335809,0.867745289,0.620833333
obesity,3,200,0.0001,0.807692308,0.798263441,0.998,0.88697944,0.343312545,0.889106351,0.8
obesity,4,200,0.0001,0.769230769,0.256410256,0.333333333,0.289855072,0,0.884615385,0.5
obesity,5,200,0.0001,0.807692308,0.790149074,0.79469697,0.789362042,0.081182001,0.835838486,0.641666667
obesity,6,200,0.0001,0.769230769,0.769230769,1,0.869565217,0,0.884615385,0.5
obesity,7,200,0.0001,0.769230769,0.769230769,1,0.869565217,0,0.884615385,0.5
obesity,8,200,0.0001,0.769230769,0.769230769,1,0.869565217,0,0.884615385,0.5
obesity,9,200,0.0001,0.769230769,0.769230769,1,0.869565217,0,0.884615385,0.5
obesity,10,200,0.0001,0.769230769,0.769230769,1,0.869565217,0,0.884615385,0.5
t2d,1,200,0.0001,0.685714286,0.735541215,0.492647059,0.585937396,0.344812421,0.749361301,0.774509804
t2d,2,200,0.0001,0.514285714,0,0,0,0,0.742857143,0.5
t2d,3,200,0.0001,0.771428571,0.744316371,0.53265969,0.612423739,0.375123064,0.716218195,0.779411765
t2d,4,200,0.0001,0.742857143,0.719047041,0.573010381,0.630557866,0.369071579,0.685214532,0.784313725
t2d,5,200,0.0001,0.742857143,0.732625284,0.506480558,0.596257711,0.362855673,0.701661622,0.77124183
t2d,6,200,0.0001,0.742857143,0.745336929,0.56097561,0.635261827,0.390915889,0.705433938,0.789215686
t2d,7,200,0.0001,0.771428571,0.687241858,0.603553922,0.637398996,0.346637618,0.736514692,0.781045752
t2d,8,200,0.0001,0.8,0.737019028,0.489858012,0.57935298,0.34512456,0.72478916,0.784313725
t2d,9,200,0.0001,0.514285714,0,0,0,0,0.742932773,0.529411765
t2d,10,200,0.0001,0.771428571,0.755450882,0.568875652,0.64360699,0.407466597,0.690120545,0.741830065
wt2d,1,200,0.0001,0.5,0.5,1,0.666666667,0,0.857442063,0.88
wt2d,2,200,0.0001,0.9,0.586642707,0.803773585,0.675972665,0.24784833,0.800572028,0.88
wt2d,3,200,0.0001,0.8,0.563535714,0.929,0.690377622,0.150558761,0.826138095,0.88
wt2d,4,200,0.0001,0.9,0.601212938,0.79245283,0.679286332,0.272900643,0.84622941,0.88
wt2d,5,200,0.0001,0.7,0.587605042,0.615686275,0.599515517,0.183067368,0.854390756,0.92
wt2d,6,200,0.0001,0.9,0.63525641,0.665384615,0.644662602,0.278067267,0.863645452,0.84
wt2d,7,200,0.0001,0.9,0.580834803,0.788888889,0.666052055,0.225178988,0.836200764,0.92
wt2d,8,200,0.0001,0.9,0.637532002,0.822580645,0.71070614,0.331277756,0.821896441,0.92
wt2d,9,200,0.0001,0.8,0.52722372,0.671698113,0.58913665,0.077197854,0.777389937,0.84
wt2d,10,200,0.0001,0.5,0.5,1,0.666666667,0,0.841506548,0.92
